007' - Endurance 35
1
1 ton
1-ton
1/2 Tonner
100 Supermaxi
100' canting keel
1000 Pro
100ft Super Maxi
10m Buzzi
10m Buzzi RIB
10m Scorpion RIB
11 Meter	
11.03m Phantom USA
11.3m Fountain
11.46m Dragon
11.6m Outerlimits
11.7m Whitsunday Whaler
11.8m Hustler
1100 Pro
11Metre - yacht - 1997 to 2010
12 Meter
12 Metre
12 Metre
1200 Pro
12m Apache
12m Cigarette
12MJI
13.5m AllBlack
13m Good Hope
13m Outer Limits
14.5m Metamarine
1450 sport
15 JI AURIQUE
1500 Pro
16m ketch
1700 Pro
18.2m Marco Polo
18Footer
1937 Gaff Ketch
1938 S&S Yawl
1975 Swan 44
1982 Beneteau First 42
1D 35
1D 35 Turbo
1D35
1D35x
1D48
2 masted gaff schooner
2 masted schooner
2_4mR
2.4 Meter
2.4 Metre
2000 Pro
2006 Centurion 40s
2014 BRP Summit 154 E-Tec 800 CC / 2017 BRP Scandic E-Tec 600 CC
2015 BRP Freeride 800 CC / 2018 BRP Freeride 800 CC
2015 Yamaha Viper MTX 1049 CC / 2015 Yamaha Viper MTX 1049 CC
2016 BRP Freeride 154 800 CC / 2016 BRP Freeride 154 800 CC
2016 BRP Summit SP800 CC / 2016 BRP Summit SP800 CC
2017 Arctic Cat High Country 800 CC / 2017 Arctic Cat 153 XF Limited 800 CC
2017 BRP Freeride 137 E-TEC 800 CC / 2017 BRP Freeride 137 E-TEC 800 CC
2017 BRP Freeride 154 800 CC / 2017 BRP Freeride 800 CC
2017 BRP Freeride 800 / 2017 BRP Freeride 800
2017 BRP Freeride 800 CC / 2017 BRP Freeride 800 CC
2017 Jeep Rubicon Recon -
2017 Polaris Switchback Assault 600 / 2017 Polaris Switchback Assault 600
2018  BRP Free Ride 137 850 E-TEC Mountain Extreme / 2018  BRP Free Ride 137 850 E-TEC Mountain Extreme
2018 Arctic Cat 8000 Highcountry 153 Limited 800 / 2018 Arctic Cat 8000 Highcountry 153 Limited 800
2018 Arctic Cat High Country Limited 8000 (153) 800CC / 2018 Arctic Cat High Country Limited 8000 (153) 800CC
2018 Arctic Cat M8000 800CC / 2018 Arctic Cat M8000 800CC
2018 BRP  Expedition Extreme 800 / 2018 BRP  Expedition Extreme 800
2018 BRP Freeride 850 / 2018 BRP Freeride 850
2018 BRP Freeride 850 CC / 2018 BRP Freeride 850 CC
2018 BRP MXZ Backcountry X 850 / 2018 BRP MXZ Backcountry X 850
2018 BRP Renegade Backcountry X 850 E-Tec / 2018 BRP Renegade Backcountry X 850 E-Tec
2018 BRP Summit SP 850 CC / 2018 BRP Summit SP 850 CC
2018 Polaris Titan 800 CC / 2018 Polaris Titan 800 CC
2018 Yamaha Sidewinder 998 CC / 2018 Yamaha Sidewinder 998 CC
